Catalyst_type,Surface area,Pore Volume,Catalyst_loading (g/L),Light_intensity (W),time (min),solution_pH,HA (mg/L),Anions,Ci (mg/L),Cf (mg/L),Efficiency (%)
no catalyst,0,0,0,105,0,5.45,0,without Anion,10,10,0
no catalyst,0,0,0,105,30,5.45,0,without Anion,10,9.98,0.2
no catalyst,0,0,0,105,60,5.45,0,without Anion,10,9.96,0.4
no catalyst,0,0,0,105,90,5.45,0,without Anion,10,9.94,0.6
no catalyst,0,0,0,105,120,5.45,0,without Anion,10,9.87,1.3
no catalyst,0,0,0,105,150,5.45,0,without Anion,10,9.83,1.7
no catalyst,0,0,0,105,180,5.45,0,without Anion,10,9.82,1.8
no catalyst,0,0,0,105,210,5.45,0,without Anion,10,9.82,1.8
no catalyst,0,0,0,105,240,5.45,0,without Anion,10,9.81,1.9
no catalyst,0,0,0,105,270,5.45,0,without Anion,10,9.8,2
no catalyst,0,0,0,105,0,5.45,0,without Anion,10,10,0
no catalyst,0,0,0,105,30,5.45,0,without Anion,10,9.97,0.3
no catalyst,0,0,0,105,60,5.45,0,without Anion,10,9.95,0.5
no catalyst,0,0,0,105,90,5.45,0,without Anion,10,9.91,0.9
no catalyst,0,0,0,105,120,5.45,0,without Anion,10,9.88,1.2
no catalyst,0,0,0,105,150,5.45,0,without Anion,10,9.85,1.5
no catalyst,0,0,0,105,180,5.45,0,without Anion,10,9.81,1.9
no catalyst,0,0,0,105,210,5.45,0,without Anion,10,9.79,2.1
no catalyst,0,0,0,105,240,5.45,0,without Anion,10,9.79,2.1
no catalyst,0,0,0,105,270,5.45,0,without Anion,10,9.78,2.2
no catalyst,0,0,0,105,0,5.45,0,without Anion,10,10,0
no catalyst,0,0,0,105,30,5.45,0,without Anion,10,9.97,0.3
no catalyst,0,0,0,105,60,5.45,0,without Anion,10,9.91,0.9
no catalyst,0,0,0,105,90,5.45,0,without Anion,10,9.88,1.2
no catalyst,0,0,0,105,120,5.45,0,without Anion,10,9.87,1.3
no catalyst,0,0,0,105,150,5.45,0,without Anion,10,9.85,1.5
no catalyst,0,0,0,105,180,5.45,0,without Anion,10,9.83,1.7
no catalyst,0,0,0,105,210,5.45,0,without Anion,10,9.8,2
no catalyst,0,0,0,105,240,5.45,0,without Anion,10,9.79,2.1
no catalyst,0,0,0,105,270,5.45,0,without Anion,10,9.78,2.2
pure BFO,11.2,0.0028,1,105,0,5.45,0,without Anion,10,10,0
pure BFO,11.2,0.0028,1,105,30,5.45,0,without Anion,10,8.64,13.6
pure BFO,11.2,0.0028,1,105,60,5.45,0,without Anion,10,7.44,25.6
pure BFO,11.2,0.0028,1,105,90,5.45,0,without Anion,10,6.46,35.4
pure BFO,11.2,0.0028,1,105,120,5.45,0,without Anion,10,5.8,42
pure BFO,11.2,0.0028,1,105,150,5.45,0,without Anion,10,5.33,46.7
pure BFO,11.2,0.0028,1,105,180,5.45,0,without Anion,10,4.73,52.7
pure BFO,11.2,0.0028,1,105,210,5.45,0,without Anion,10,3.95,60.5
pure BFO,11.2,0.0028,1,105,240,5.45,0,without Anion,10,3.2,68
